SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude
湖口,新竹縣,49,,良好,2.4,0.53,0.5,60,53,43,17,8.2,9.6,1.5,5.5,35,2019-03-04 16:00,15,36,2,121.038653,24.900142
菜寮,新北市,58,細懸浮微粒,普通,1.4,0.64,0.6,48,41,30,16,11,14,2.7,4.5,84,2019-03-04 16:00,18,29,1,121.481028,25.06895
陽明,臺北市,43,,良好,0.5,0.47,0.4,53,46,26,13,2.1,2.5,0.3,,,2019-03-04 16:00,11,20,1,121.529583,25.182722
新竹,新竹市,63,細懸浮微粒,普通,2.3,0.57,0.5,56,49,47,22,13,14,0.7,3.8,34,2019-03-04 16:00,20,40,2,120.972075,24.805619
新店,新北市,41,,良好,1.3,0.61,0.6,50,42,30,14,12,14,2.2,1.7,59,2019-03-04 16:00,13,28,1,121.537778,24.977222
新莊,新北市,36,,良好,2.7,0.58,0.6,49,39,35,15,,,,7.1,54,2019-03-04 16:00,11,29,2,121.4325,25.037972
新港,嘉義縣,60,細懸浮微粒,普通,2.2,0.4,0.4,67,49,60,13,7.2,7.8,0.6,3.6,329,2019-03-04 16:00,19,50,2,120.345531,23.554839
新營,臺南市,60,細懸浮微粒,普通,2.4,0.38,0.4,53,38,44,13,7.8,8.3,0.5,2.6,360,2019-03-04 16:00,19,43,2,120.31725,23.305633
楠梓,高雄市,79,細懸浮微粒,普通,1.9,0.32,0.4,64,47,36,11,8.3,10,1.8,3.1,288,2019-03-04 16:00,27,40,2,120.328289,22.733667
萬里,新北市,50,,良好,2.4,0.49,0.5,62,54,41,15,2.1,3,0.9,7,49,2019-03-04 16:00,13,37,2,121.689881,25.179667
萬華,臺北市,31,,良好,3,0.63,0.6,40,34,35,11,17,21,4.2,5,87,2019-03-04 16:00,7,32,1,121.507972,25.046503
嘉義,嘉義市,81,細懸浮微粒,普通,3.6,0.46,0.5,72,45,51,27,8.7,10,1.3,3.4,341,2019-03-04 16:00,28,46,3,120.440833,23.462778
